contig	gene_id	gene_number	locus	strand	full_label	hmm	gene_symbol	label	product	ec_number
NC_004663.1	NC_004663.1_32	32	(22906, 26169)	pos	NC_004663.1_32__NC_004663.1_32_22906_26169_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_33	33	(26182, 28011)	pos	NC_004663.1_33__NC_004663.1_33_26182_28011_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_144	144	(139982, 143212)	pos	NC_004663.1_144__NC_004663.1_144_139982_143212_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_145	145	(143223, 144962)	pos	NC_004663.1_145__NC_004663.1_145_143223_144962_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_197	197	(200124, 203564)	pos	NC_004663.1_197__NC_004663.1_197_200124_203564_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_198	198	(203588, 204979)	pos	NC_004663.1_198__NC_004663.1_198_203588_204979_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_213	213	(222704, 225646)	pos	NC_004663.1_213__NC_004663.1_213_222704_225646_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_214	214	(225665, 227200)	pos	NC_004663.1_214__NC_004663.1_214_225665_227200_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_280	280	(310606, 313776)	pos	NC_004663.1_280__NC_004663.1_280_310606_313776_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_281	281	(313801, 315312)	pos	NC_004663.1_281__NC_004663.1_281_313801_315312_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_447	447	(530005, 533124)	pos	NC_004663.1_447__NC_004663.1_447_530005_533124_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_448	448	(533139, 535022)	pos	NC_004663.1_448__NC_004663.1_448_533139_535022_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_491	491	(595675, 598419)	pos	NC_004663.1_491__NC_004663.1_491_595675_598419_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_492	492	(598438, 600171)	pos	NC_004663.1_492__NC_004663.1_492_598438_600171_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_773	773	(936269, 939685)	pos	NC_004663.1_773__NC_004663.1_773_936269_939685_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_774	774	(939715, 941520)	pos	NC_004663.1_774__NC_004663.1_774_939715_941520_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_2329	2329	(2847059, 2850154)	pos	NC_004663.1_2329__NC_004663.1_2329_2847059_2850154_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_2330	2330	(2850174, 2851583)	pos	NC_004663.1_2330__NC_004663.1_2330_2850174_2851583_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_2426	2426	(2942417, 2945503)	pos	NC_004663.1_2426__NC_004663.1_2426_2942417_2945503_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_2427	2427	(2945516, 2947354)	pos	NC_004663.1_2427__NC_004663.1_2427_2945516_2947354_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_2428	2428	(2947596, 2950673)	pos	NC_004663.1_2428__NC_004663.1_2428_2947596_2950673_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_2429	2429	(2950707, 2952200)	pos	NC_004663.1_2429__NC_004663.1_2429_2950707_2952200_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_3103	3103	(3824416, 3827481)	pos	NC_004663.1_3103__NC_004663.1_3103_3824416_3827481_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_3104	3104	(3827521, 3829146)	pos	NC_004663.1_3104__NC_004663.1_3104_3827521_3829146_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_3261	3261	(4054467, 4057769)	pos	NC_004663.1_3261__NC_004663.1_3261_4054467_4057769_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_3262	3262	(4057819, 4059651)	pos	NC_004663.1_3262__NC_004663.1_3262_4057819_4059651_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_3373	3373	(4191588, 4195136)	pos	NC_004663.1_3373__NC_004663.1_3373_4191588_4195136_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_3374	3374	(4195143, 4196612)	pos	NC_004663.1_3374__NC_004663.1_3374_4195143_4196612_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_3406	3406	(4248560, 4251565)	pos	NC_004663.1_3406__NC_004663.1_3406_4248560_4251565_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
