contig	gene_id	gene_number	locus	strand	full_label	hmm	gene_symbol	label	product	ec_number
NC_003228.3	NC_003228.3_278	278	(334274, 337477)	pos	NC_003228.3_278__NC_003228.3_278_334274_337477_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_279	279	(337506, 339371)	pos	NC_003228.3_279__NC_003228.3_279_337506_339371_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_003228.3	NC_003228.3_333	333	(420462, 423521)	pos	NC_003228.3_333__NC_003228.3_333_420462_423521_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_334	334	(423550, 425037)	pos	NC_003228.3_334__NC_003228.3_334_423550_425037_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_003228.3	NC_003228.3_490	490	(603565, 606756)	pos	NC_003228.3_490__NC_003228.3_490_603565_606756_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_491	491	(606772, 608742)	pos	NC_003228.3_491__NC_003228.3_491_606772_608742_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_003228.3	NC_003228.3_509	509	(629760, 633173)	pos	NC_003228.3_509__NC_003228.3_509_629760_633173_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_510	510	(633197, 634684)	pos	NC_003228.3_510__NC_003228.3_510_633197_634684_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_003228.3	NC_003228.3_543	543	(680148, 683429)	pos	NC_003228.3_543__NC_003228.3_543_680148_683429_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_544	544	(683442, 685010)	pos	NC_003228.3_544__NC_003228.3_544_683442_685010_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
