contig	gene_id	gene_number	locus	strand	full_label	hmm	gene_symbol	label	product	ec_number
NC_003228.3	NC_003228.3_227	227	(261582, 262907)	pos	NC_003228.3_227__NC_003228.3_227_261582_262907_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_278	278	(334274, 337477)	pos	NC_003228.3_278__NC_003228.3_278_334274_337477_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_333	333	(420462, 423521)	pos	NC_003228.3_333__NC_003228.3_333_420462_423521_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_490	490	(603565, 606756)	pos	NC_003228.3_490__NC_003228.3_490_603565_606756_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_509	509	(629760, 633173)	pos	NC_003228.3_509__NC_003228.3_509_629760_633173_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_543	543	(680148, 683429)	pos	NC_003228.3_543__NC_003228.3_543_680148_683429_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_566	566	(715846, 718881)	pos	NC_003228.3_566__NC_003228.3_566_715846_718881_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_568	568	(720955, 723879)	pos	NC_003228.3_568__NC_003228.3_568_720955_723879_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_628	628	(797294, 800479)	pos	NC_003228.3_628__NC_003228.3_628_797294_800479_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_724	724	(924125, 927262)	pos	NC_003228.3_724__NC_003228.3_724_924125_927262_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_781	781	(1013875, 1015437)	pos	NC_003228.3_781__NC_003228.3_781_1013875_1015437_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_830	830	(1087563, 1090946)	pos	NC_003228.3_830__NC_003228.3_830_1087563_1090946_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_926	926	(1213169, 1216471)	pos	NC_003228.3_926__NC_003228.3_926_1213169_1216471_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_932	932	(1222361, 1225741)	pos	NC_003228.3_932__NC_003228.3_932_1222361_1225741_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
