contig	gene_id	gene_number	locus	strand	full_label	hmm	gene_symbol	label	product	ec_number
NC_009441.1	NC_009441.1_131	131	(135669, 138158)	pos	NC_009441.1_131__NC_009441.1_131_135669_138158_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_151	151	(154489, 157107)	pos	NC_009441.1_151__NC_009441.1_151_154489_157107_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_408	408	(413623, 416874)	pos	NC_009441.1_408__NC_009441.1_408_413623_416874_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_428	428	(442372, 444462)	pos	NC_009441.1_428__NC_009441.1_428_442372_444462_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_556	556	(579210, 581978)	pos	NC_009441.1_556__NC_009441.1_556_579210_581978_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_678	678	(725346, 728501)	pos	NC_009441.1_678__NC_009441.1_678_725346_728501_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_752	752	(813569, 816388)	pos	NC_009441.1_752__NC_009441.1_752_813569_816388_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_780	780	(839086, 841761)	pos	NC_009441.1_780__NC_009441.1_780_839086_841761_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_1292	1292	(1433959, 1436598)	pos	NC_009441.1_1292__NC_009441.1_1292_1433959_1436598_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_1439	1439	(1604435, 1607416)	pos	NC_009441.1_1439__NC_009441.1_1439_1604435_1607416_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_1511	1511	(1689894, 1692419)	pos	NC_009441.1_1511__NC_009441.1_1511_1689894_1692419_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_1596	1596	(1807610, 1810759)	pos	NC_009441.1_1596__NC_009441.1_1596_1807610_1810759_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_1972	1972	(2222995, 2226102)	pos	NC_009441.1_1972__NC_009441.1_1972_2222995_2226102_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_2058	2058	(2343196, 2346792)	pos	NC_009441.1_2058__NC_009441.1_2058_2343196_2346792_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_2071	2071	(2365896, 2368913)	pos	NC_009441.1_2071__NC_009441.1_2071_2365896_2368913_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_2095	2095	(2406921, 2410007)	pos	NC_009441.1_2095__NC_009441.1_2095_2406921_2410007_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_2132	2132	(2460478, 2463504)	pos	NC_009441.1_2132__NC_009441.1_2132_2460478_2463504_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_2491	2491	(2912487, 2915522)	pos	NC_009441.1_2491__NC_009441.1_2491_2912487_2915522_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_2779	2779	(3226028, 3229126)	pos	NC_009441.1_2779__NC_009441.1_2779_3226028_3229126_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_3111	3111	(3589451, 3592474)	pos	NC_009441.1_3111__NC_009441.1_3111_3589451_3592474_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
