contig	gene_id	gene_number	locus	strand	full_label	hmm	gene_symbol	label	product	ec_number
NC_004663.1	NC_004663.1_32	32	(22906, 26169)	pos	NC_004663.1_32__NC_004663.1_32_22906_26169_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_144	144	(139982, 143212)	pos	NC_004663.1_144__NC_004663.1_144_139982_143212_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_197	197	(200124, 203564)	pos	NC_004663.1_197__NC_004663.1_197_200124_203564_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_213	213	(222704, 225646)	pos	NC_004663.1_213__NC_004663.1_213_222704_225646_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_276	276	(304251, 307184)	pos	NC_004663.1_276__NC_004663.1_276_304251_307184_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_280	280	(310606, 313776)	pos	NC_004663.1_280__NC_004663.1_280_310606_313776_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_324	324	(382145, 385333)	pos	NC_004663.1_324__NC_004663.1_324_382145_385333_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_447	447	(530005, 533124)	pos	NC_004663.1_447__NC_004663.1_447_530005_533124_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_491	491	(595675, 598419)	pos	NC_004663.1_491__NC_004663.1_491_595675_598419_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_510	510	(620545, 622872)	pos	NC_004663.1_510__NC_004663.1_510_620545_622872_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_512	512	(623432, 625771)	pos	NC_004663.1_512__NC_004663.1_512_623432_625771_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_773	773	(936269, 939685)	pos	NC_004663.1_773__NC_004663.1_773_936269_939685_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_1078	1078	(1317605, 1320898)	pos	NC_004663.1_1078__NC_004663.1_1078_1317605_1320898_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_1082	1082	(1325150, 1327897)	pos	NC_004663.1_1082__NC_004663.1_1082_1325150_1327897_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_1317	1317	(1590525, 1593857)	pos	NC_004663.1_1317__NC_004663.1_1317_1590525_1593857_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_1594	1594	(1916828, 1920118)	pos	NC_004663.1_1594__NC_004663.1_1594_1916828_1920118_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_1664	1664	(1989363, 1992815)	pos	NC_004663.1_1664__NC_004663.1_1664_1989363_1992815_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_2093	2093	(2548741, 2551722)	pos	NC_004663.1_2093__NC_004663.1_2093_2548741_2551722_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_2169	2169	(2645282, 2648461)	pos	NC_004663.1_2169__NC_004663.1_2169_2645282_2648461_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_2329	2329	(2847059, 2850154)	pos	NC_004663.1_2329__NC_004663.1_2329_2847059_2850154_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_2426	2426	(2942417, 2945503)	pos	NC_004663.1_2426__NC_004663.1_2426_2942417_2945503_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_2428	2428	(2947596, 2950673)	pos	NC_004663.1_2428__NC_004663.1_2428_2947596_2950673_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_2456	2456	(2985949, 2989032)	pos	NC_004663.1_2456__NC_004663.1_2456_2985949_2989032_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_2591	2591	(3162750, 3165878)	pos	NC_004663.1_2591__NC_004663.1_2591_3162750_3165878_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
