contig	gene_id	gene_number	locus	strand	full_label	hmm	gene_symbol	label	product	ec_number
NC_009441.1	NC_009441.1_800	800	(868972, 870567)	neg	NC_009441.1_800__NC_009441.1_800_868972_870567_neg	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_009441.1	NC_009441.1_801	801	(870554, 873685)	neg	NC_009441.1_801__NC_009441.1_801_870554_873685_neg	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_1244	1244	(1381896, 1383404)	neg	NC_009441.1_1244__NC_009441.1_1244_1381896_1383404_neg	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_009441.1	NC_009441.1_1245	1245	(1383413, 1386685)	neg	NC_009441.1_1245__NC_009441.1_1245_1383413_1386685_neg	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_1439	1439	(1604435, 1607416)	pos	NC_009441.1_1439__NC_009441.1_1439_1604435_1607416_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_1440	1440	(1607452, 1609056)	pos	NC_009441.1_1440__NC_009441.1_1440_1607452_1609056_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_009441.1	NC_009441.1_1596	1596	(1807610, 1810759)	pos	NC_009441.1_1596__NC_009441.1_1596_1807610_1810759_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_1597	1597	(1810778, 1812313)	pos	NC_009441.1_1597__NC_009441.1_1597_1810778_1812313_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_009441.1	NC_009441.1_1972	1972	(2222995, 2226102)	pos	NC_009441.1_1972__NC_009441.1_1972_2222995_2226102_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_1973	1973	(2226110, 2227657)	pos	NC_009441.1_1973__NC_009441.1_1973_2226110_2227657_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_009441.1	NC_009441.1_2071	2071	(2365896, 2368913)	pos	NC_009441.1_2071__NC_009441.1_2071_2365896_2368913_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_2072	2072	(2368930, 2370453)	pos	NC_009441.1_2072__NC_009441.1_2072_2368930_2370453_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_009441.1	NC_009441.1_2491	2491	(2912487, 2915522)	pos	NC_009441.1_2491__NC_009441.1_2491_2912487_2915522_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_2492	2492	(2915534, 2917033)	pos	NC_009441.1_2492__NC_009441.1_2492_2915534_2917033_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_009441.1	NC_009441.1_3111	3111	(3589451, 3592474)	pos	NC_009441.1_3111__NC_009441.1_3111_3589451_3592474_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_3112	3112	(3592487, 3593890)	pos	NC_009441.1_3112__NC_009441.1_3112_3592487_3593890_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_009441.1	NC_009441.1_3202	3202	(3711351, 3712964)	neg	NC_009441.1_3202__NC_009441.1_3202_3711351_3712964_neg	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_009441.1	NC_009441.1_3203	3203	(3712984, 3715995)	neg	NC_009441.1_3203__NC_009441.1_3203_3712984_3715995_neg	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_3327	3327	(3885532, 3887067)	neg	NC_009441.1_3327__NC_009441.1_3327_3885532_3887067_neg	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_009441.1	NC_009441.1_3328	3328	(3887087, 3890473)	neg	NC_009441.1_3328__NC_009441.1_3328_3887087_3890473_neg	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_3415	3415	(3987732, 3991091)	pos	NC_009441.1_3415__NC_009441.1_3415_3987732_3991091_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_009441.1	NC_009441.1_3416	3416	(3991078, 3992556)	pos	NC_009441.1_3416__NC_009441.1_3416_3991078_3992556_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_009441.1	NC_009441.1_3606	3606	(4199474, 4200937)	neg	NC_009441.1_3606__NC_009441.1_3606_4199474_4200937_neg	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
