contig	gene_id	gene_number	locus	strand	full_label	hmm	gene_symbol	label	product	ec_number
NC_003228.3	NC_003228.3_278	278	(334274, 337477)	pos	NC_003228.3_278__NC_003228.3_278_334274_337477_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_279	279	(337506, 339371)	pos	NC_003228.3_279__NC_003228.3_279_337506_339371_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_003228.3	NC_003228.3_318	318	(395930, 397777)	neg	NC_003228.3_318__NC_003228.3_318_395930_397777_neg	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_003228.3	NC_003228.3_319	319	(397795, 401148)	neg	NC_003228.3_319__NC_003228.3_319_397795_401148_neg	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_325	325	(410502, 412022)	neg	NC_003228.3_325__NC_003228.3_325_410502_412022_neg	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_003228.3	NC_003228.3_326	326	(412034, 415084)	neg	NC_003228.3_326__NC_003228.3_326_412034_415084_neg	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_333	333	(420462, 423521)	pos	NC_003228.3_333__NC_003228.3_333_420462_423521_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_003228.3	NC_003228.3_334	334	(423550, 425037)	pos	NC_003228.3_334__NC_003228.3_334_423550_425037_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_003228.3	NC_003228.3_474	474	(579726, 581441)	neg	NC_003228.3_474__NC_003228.3_474_579726_581441_neg	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_003228.3	NC_003228.3_475	475	(581458, 584628)	neg	NC_003228.3_475__NC_003228.3_475_581458_584628_neg	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
